company_name,raw_name,isin,sector,symbol,ticker,tradable
URBAN COMPANY LIMITED,URBAN COMPANY LIMITED,INE0CAZ01013,"OFFICE ADMINISTRATIVE, OFFICE SUPPORT AND OTHER BUSINESS SUPPORT ACTIVITIES",URBANCO,URBANCO.NS,Y
UTKARSH SMALL FINANCE BANK LIMITED,UTKARSH SMALL FINANCE BANK LIMITED,INE735W01017,BANKING & FINANCE,UTKARSHBNK,UTKARSHBNK.NS,Y
APL APOLLO TUBES LIMITED,APL APOLLO TUBES LIMITED,INE702C01027,MANUFACTURE OF BASIC METALS,APLAPOLLO,APLAPOLLO.NS,Y
BHARTI HEXACOM LIMITED,BHARTI HEXACOM LIMITED,INE343G01021,TELECOMMUNICATIONS,BHARTIHEXA,BHARTIHEXA.NS,Y
CITY UNION BANK LIMITED,CITY UNION BANK LIMITED,INE491A01021,BANKING & FINANCE,CUB,CUB.NS,Y
DELHIVERY LIMITED,DELHIVERY LIMITED,INE148O01028,LAND TRANSPORT AND TRANSPORT VIA PIPELINES,DELHIVERY,DELHIVERY.NS,Y
FEDERAL BANK LTD,FEDERAL BANK LTD.FV-2,INE171A01029,BANKING & FINANCE,FEDERALBNK,FEDERALBNK.NS,Y
L&T FINANCE LIMITED,L&T FINANCE LIMITED,INE498L01015,BANKING & FINANCE,LTF,LTF.NS,Y
NIPPON LIFE INDIA ASSET MANAGEMENT LIMITED,NIPPON LIFE INDIA ASSET MANAGEMENT LIMITED,INE298J01013,BANKING & FINANCE,NAM-INDIA,NAM-INDIA.NS,Y
POLYCAB INDIA LIMITED,POLYCAB INDIA LIMITED,INE455K01017,MANUFACTURE OF ELECTRICAL EQUIPMENT,POLYCAB,POLYCAB.NS,Y
TBO TEK LIMITED,TBO TEK LIMITED,INE673O01025,"TRAVEL AGENCY, TOUR OPERATOR AND OTHER RESERVATION SERVICE ACTIVITIES",TBOTEK,TBOTEK.NS,Y
WELSPUN CORP LIMITED,WELSPUN CORP LIMITED,INE191B01025,MANUFACTURE OF BASIC METALS,WELCORP,WELCORP.NS,Y
MANAPPURAM FINANCE LIMITED,MANAPPURAM FINANCE LIMITED,INE522D01027,BANKING & FINANCE,MANAPPURAM,MANAPPURAM.NS,Y
NATIONAL MINARAL DEVELOPMENT CORPORATION LIMITED,NATIONAL MINARAL DEVELOPMENT CORPORATION LIMITED,INE584A01023,MINING OF METAL ORES,NMDC,NMDC.NS,Y
SUPREME INDUSTRIES LTD FV 2,SUPREME INDUSTRIES LTD FV 2,INE195A01028,MANUFACTURE OF RUBBER AND PLASTICS PRODUCTS,SUPREMEIND,SUPREMEIND.NS,Y
UPL LIMITED,UPL LIMITED,INE628A01036,MANUFACTURE OF CHEMICALS AND CHEMICAL PRODUCTS,UPL,UPL.NS,Y
INFO EDGE (INDIA) LTD,INFO EDGE (INDIA) LTD.FV-2,INE663F01032,INFORMATION SERVICE ACTIVITIES,NAUKRI,NAUKRI.NS,Y
THYROCARE TECHNOLOGIES LIMITED,THYROCARE TECHNOLOGIES LIMITED,INE594H01019,HUMAN HEALTH ACTIVITIES,THYROCARE,THYROCARE.NS,Y
METRO BRANDS LIMITED,METRO BRANDS LIMITED,INE317I01021,"RETAIL TRADE, EXCEPT OF MOTOR VEHICLES AND MOTORCYCLES",METROBRAND,METROBRAND.NS,Y
PUNJAB NATIONAL BANK,PUNJAB NATIONAL BANKFV-2,INE160A01022,BANKING & FINANCE,PNB,PNB.NS,Y
AMBUJA CEMENTS LIMITED,AMBUJA CEMENTS LIMITED,INE079A01024,MANUFACTURE OF OTHER NON-METALLIC MINERAL PRODUCTS,AMBUJACEM,AMBUJACEM.NS,Y
BLUE STAR LTD,BLUE STAR LTD,INE472A01039,MANUFACTURE OF MACHINERY AND EQUIPMENT N.E.C.,BLUESTARCO,BLUESTARCO.NS,Y
COLGATE-PALMOLIVE (INDIA) LTD,COLGATE-PALMOLIVE (INDIA) LTD.,INE259A01022,MANUFACTURE OF CHEMICALS AND CHEMICAL PRODUCTS,COLPAL,COLPAL.NS,Y
GLAXOSMITHKLINE PHARMACEUTICALS LTD,GLAXOSMITHKLINE PHARMACEUTICALS LTD,INE159A01016,"MANUFACTURE OF PHARMACEUTICALS, MEDICINAL CHEMICAL AND BOTANICAL PRODUCTS",GLAXO,GLAXO.NS,Y
L&T TECHNOLOGY SERVICES LTD,L&T TECHNOLOGY SERVICES LTD,INE010V01017,"COMPUTER PROGRAMMING, CONSULTANCY AND RELATED ACTIVITIES",LTTS,LTTS.NS,Y
MAHINDRA & MAHINDRA FINANCIAL SERVICES LIMITED,MAHINDRA & MAHINDRA FINANCIAL SERVICES LIMITED,INE774D01024,BANKING & FINANCE,M&MFIN,M&MFIN.NS,Y
METROPOLIS HEALTHCARE LTD,METROPOLIS HEALTHCARE LTD,INE112L01020,HUMAN HEALTH ACTIVITIES,METROPOLIS,METROPOLIS.NS,Y
NHPC LTD,NHPC LTD.,INE848E01016,"ELECTRICITY, GAS, STEAM AND AIR CONDITIONING SUPPLY",NHPC,NHPC.NS,Y
RURAL ELECTRIFICATION CORPORATION LIMITED,RURAL ELECTRIFICATION CORPORATION LIMITED,INE020B01018,BANKING & FINANCE,RECLTD,RECLTD.NS,Y
SRF LIMITED,SRF LIMITED,INE647A01010,MANUFACTURE OF CHEMICALS AND CHEMICAL PRODUCTS,SRF,SRF.NS,Y
WIPRO LTD,WIPRO LTD.,INE075A01022,"COMPUTER PROGRAMMING, CONSULTANCY AND RELATED ACTIVITIES",WIPRO,WIPRO.NS,Y
EID PARRY INDIA LIMITED,EID PARRY INDIA LIMITED,INE126A01031,MANUFACTURE OF FOOD PRODUCTS,EIDPARRY,EIDPARRY.NS,Y
VISHAL MEGA MART LIMITED,VISHAL MEGA MART LIMITED,INE01EA01019,"WHOLESALE TRADE, EXCEPT OF MOTOR VEHICLES AND MOTORCYCLES",VMM,VMM.NS,Y
BALRAMPUR CHINI MILLS LTD,BALRAMPUR CHINI MILLS LTD.,INE119A01028,MANUFACTURE OF FOOD PRODUCTS,BALRAMCHIN,BALRAMCHIN.NS,Y
GOKALDAS EXPORTS LTD,GOKALDAS EXPORTS LTD.,INE887G01027,MANUFACTURE OF WEARING APPAREL,GOKEX,GOKEX.NS,Y
INTERNATIONAL GEMMOLOGICAL INSTITUTE (INDIA) LIMITED,INTERNATIONAL GEMMOLOGICAL INSTITUTE (INDIA) LIMITED,INE0Q9301021,"OTHER PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES",IGIL,IGIL.NS,Y
SUNDRAM FASTENERS LTD,SUNDRAM FASTENERS LTD,INE387A01021,"MANUFACTURE OF MOTOR VEHICLES, TRAILERS AND SEMI-TRAILERS",SUNDRMFAST,SUNDRMFAST.NS,Y
UNITED BREWERIES LIMITED,UNITED BREWERIES LIMITED,INE686F01025,MANUFACTURE OF BEVERAGES,UBL,UBL.NS,Y
FORTIS HEALTHCARE LTD,FORTIS HEALTHCARE LTD,INE061F01013,HUMAN HEALTH ACTIVITIES,FORTIS,FORTIS.NS,Y
MOTHERSON SUMI WIRING INDIA LIMITED,MOTHERSON SUMI WIRING INDIA LIMITED,INE0FS801015,"MANUFACTURE OF MOTOR VEHICLES, TRAILERS AND SEMI-TRAILERS",MSUMI,MSUMI.NS,Y
NEULAND LABORATORIES LIMITED,NEULAND LABORATORIES LIMITED,INE794A01010,"MANUFACTURE OF PHARMACEUTICALS, MEDICINAL CHEMICAL AND BOTANICAL PRODUCTS",NEULANDLAB,NEULANDLAB.NS,Y
ADANI ENTERPRISES LIMITED,ADANI ENTERPRISES LIMITED,INE423A01024,"WHOLESALE TRADE, EXCEPT OF MOTOR VEHICLES AND MOTORCYCLES",ADANIENT,ADANIENT.NS,Y
AIA ENGINEERING LTD.FV -2,AIA ENGINEERING LTD.FV -2,INE212H01026,MANUFACTURE OF BASIC METALS,AIAENG,AIAENG.NS,Y
ALKEM LABORATORIES LIMITED,ALKEM LABORATORIES LIMITED,INE540L01014,"MANUFACTURE OF PHARMACEUTICALS, MEDICINAL CHEMICAL AND BOTANICAL PRODUCTS",ALKEM,ALKEM.NS,Y
AUROBINDO PHARMA LTD,AUROBINDO PHARMA LTD. FV-1,INE406A01037,"MANUFACTURE OF PHARMACEUTICALS, MEDICINAL CHEMICAL AND BOTANICAL PRODUCTS",AUROPHARMA,AUROPHARMA.NS,Y
BALKRISHNA INDUSTRIES LIMITED,BALKRISHNA INDUSTRIES LIMITED,INE787D01026,MANUFACTURE OF RUBBER AND PLASTICS PRODUCTS,BALKRISIND,BALKRISIND.NS,Y
BIOCON LTD,BIOCON LTD.,INE376G01013,"MANUFACTURE OF PHARMACEUTICALS, MEDICINAL CHEMICAL AND BOTANICAL PRODUCTS",BIOCON,BIOCON.NS,Y
BRIGADE ENTERPRISES,BRIGADE ENTERPRISES,INE791I01019,CONSTRUCTION OF BUILDINGS,BRIGADE,BRIGADE.NS,Y
COCHIN SHIPYARD LIMITED FV 5,COCHIN SHIPYARD LIMITED FV 5,INE704P01025,MANUFACTURE OF OTHER TRANSPORT EQUIPMENT,COCHINSHIP,COCHINSHIP.NS,Y
DEEPAK FERTILISERS & PETROCHEMICALS,DEEPAK FERTILISERS & PETROCHEMICALS,INE501A01019,MANUFACTURE OF CHEMICALS AND CHEMICAL PRODUCTS,DEEPAKFERT,DEEPAKFERT.NS,Y
DOMS INDUSTRIES LIMITED,DOMS INDUSTRIES LIMITED,INE321T01012,OTHER MANUFACTURING,DOMS,DOMS.NS,Y
ESCORTS KUBOTA LIMITED,ESCORTS KUBOTA LIMITED,INE042A01014,MANUFACTURE OF MACHINERY AND EQUIPMENT N.E.C.,ESCORTS,ESCORTS.NS,Y
FIRSTSOURCE SOLUTIONS LTD,FIRSTSOURCE SOLUTIONS LTD.,INE684F01012,INFORMATION SERVICE ACTIVITIES,FSL,FSL.NS,Y
GODREJ PROPERTIES LIMITED,GODREJ PROPERTIES LIMITEDFV-5,INE484J01027,CONSTRUCTION OF BUILDINGS,GODREJPROP,GODREJPROP.NS,Y
HDB FINANCIAL SERVICES LIMITED,HDB FINANCIAL SERVICES LIMITED,INE756I01012,BANKING & FINANCE,HDBFS,HDBFS.NS,Y
IDFC FIRST BANK LTD,IDFC FIRST BANK LTD,INE092T01019,BANKING & FINANCE,IDFCFIRSTB,IDFCFIRSTB.NS,Y
INDRAPRASTHA GAS LTD,INDRAPRASTHA GAS LTD.FV-2,INE203G01027,"ELECTRICITY, GAS, STEAM AND AIR CONDITIONING SUPPLY",IGL,IGL.NS,Y
INDUS TOWERS LIMITED,INDUS TOWERS LIMITED,INE121J01017,TELECOMMUNICATIONS,INDUSTOWER,INDUSTOWER.NS,Y
JUPITER LIFE LINE HOSPITALS LTD,JUPITER LIFE LINE HOSPITALS LTD.,INE682M01012,HUMAN HEALTH ACTIVITIES,JLHL,JLHL.NS,Y
LAURUS LABS LTD SPLIT FV 2,LAURUS LABS LTD SPLIT FV 2,INE947Q01028,"MANUFACTURE OF PHARMACEUTICALS, MEDICINAL CHEMICAL AND BOTANICAL PRODUCTS",LAURUSLABS,LAURUSLABS.NS,Y
LUMAX AUTO TECHNOLOGIES LIMITED,LUMAX AUTO TECHNOLOGIES LIMITED,INE872H01027,MANUFACTURE OF ELECTRICAL EQUIPMENT,LUMAXTECH,LUMAXTECH.NS,Y
LUPIN LTD,LUPIN LTD.FV-2,INE326A01037,"MANUFACTURE OF PHARMACEUTICALS, MEDICINAL CHEMICAL AND BOTANICAL PRODUCTS",LUPIN,LUPIN.NS,Y
NATIONAL ALUMINIUM CO LTD,NATIONAL ALUMINIUM CO LTD FV-5,INE139A01034,MANUFACTURE OF BASIC METALS,NATIONALUM,NATIONALUM.NS,Y
OBEROI REALITY LTD,OBEROI REALITY LTD.,INE093I01010,CONSTRUCTION OF BUILDINGS,OBEROIRLTY,OBEROIRLTY.NS,Y
OIL INDIA LTD,OIL INDIA LTD.,INE274J01014,EXTRACTION OF CRUDE PETROLEUM AND NATURAL GAS,OIL,OIL.NS,Y
PCBL CHEMICAL LIMITED,PCBL CHEMICAL LIMITED,INE602A01031,MANUFACTURE OF COKE AND REFINED PETROLEUM PRODUCTS,PCBL,PCBL.NS,Y
PRESTIGE ESTATES PROJECTS LIMITED,PRESTIGE ESTATES PROJECTS LIMITED,INE811K01011,CONSTRUCTION OF BUILDINGS,PRESTIGE,PRESTIGE.NS,Y
STEEL AUTHORITY OF INDIA LTD,STEEL AUTHORITY OF INDIA LTD.,INE114A01011,MANUFACTURE OF BASIC METALS,SAIL,SAIL.NS,Y
THE PHOENIX MILLS LIMITED,THE PHOENIX MILLS LIMITED,INE211B01039,REAL ESTATE ACTIVITIES,PHOENIXLTD,PHOENIXLTD.NS,Y
TORRENT POWER LTD,TORRENT POWER LTD,INE813H01021,"ELECTRICITY, GAS, STEAM AND AIR CONDITIONING SUPPLY",TORNTPOWER,TORNTPOWER.NS,Y
TUBE INVESTMENTS OF INDIA LIMITED,TUBE INVESTMENTS OF INDIA LIMITED,INE974X01010,MANUFACTURE OF BASIC METALS,TIINDIA,TIINDIA.NS,Y
AKUMS DRUGS & PHARMACEUTICALS LTD,AKUMS DRUGS & PHARMACEUTICALS LTD,INE09XN01023,"MANUFACTURE OF PHARMACEUTICALS, MEDICINAL CHEMICAL AND BOTANICAL PRODUCTS",AKUMS,AKUMS.NS,Y
DEEPAK NITRITE LIMITED,DEEPAK NITRITE LIMITED,INE288B01029,MANUFACTURE OF CHEMICALS AND CHEMICAL PRODUCTS,DEEPAKNTR,DEEPAKNTR.NS,Y
GAJA ALTERNATIVE ASSET MANAGEMENT LIMITED,GAJA ALTERNATIVE ASSET MANAGEMENT LIMITED,INE18UN01038,BANKING & FINANCE,,,N
HORIZON INDUSTRIAL PARKS LIMITED,HORIZON INDUSTRIAL PARKS LIMITED,INE685T01010,REAL ESTATE ACTIVITIES,,,N
MEDI ASSIST HEALTHCARE SERVICES LIMITED,MEDI ASSIST HEALTHCARE SERVICES LIMITED,INE456Z01021,"OFFICE ADMINISTRATIVE, OFFICE SUPPORT AND OTHER BUSINESS SUPPORT ACTIVITIES",MEDIASSIST,MEDIASSIST.NS,Y
NATIONAL STOCK EXCHANGE,NATIONAL STOCK EXCHANGE,INE721I01024,BANKING & FINANCE,,,N
NEPHROCARE HEALTH SERVICES LTD,NEPHROCARE HEALTH SERVICES LTD,INE428V01029,HUMAN HEALTH ACTIVITIES,NEPHROPLUS,NEPHROPLUS.NS,Y
NIVA BUPA HEALTH INSURANCE COMPANY LTD,NIVA BUPA HEALTH INSURANCE COMPANY LTD,INE995S01015,BANKING & FINANCE,NIVABUPA,NIVABUPA.NS,Y
TATA CAPITAL LIMITED,TATA CAPITAL LIMITED,INE976I01016,BANKING & FINANCE,TATACAP,TATACAP.NS,Y
ICICI PRUDENTIAL LIFE INSURANCE COMPANY LIMITED,ICICI PRUDENTIAL LIFE INSURANCE COMPANY LIMITED,INE726G01019,BANKING & FINANCE,ICICIPRULI,ICICIPRULI.NS,Y
AADHAR HOUSING FINANCE LIMITED,AADHAR HOUSING FINANCE LIMITED,INE883F01010,BANKING & FINANCE,AADHARHFC,AADHARHFC.NS,Y
ARAGEN LIFE SCIENCES LIMITED,ARAGEN LIFE SCIENCES LIMITED,INE483I01013,SCIENTIFIC RESEARCH AND DEVELOPMENT,,,N
FABINDIA LTD,FABINDIA LTD.,INE768M01027,"RETAIL TRADE, EXCEPT OF MOTOR VEHICLES AND MOTORCYCLES",,,N
FEDBANK FINANCIAL SERVICES LIMITED,FEDBANK FINANCIAL SERVICES LIMITED,INE007N01010,BANKING & FINANCE,FEDFINA,FEDFINA.NS,Y
GLOBAL HEALTH LIMITED,GLOBAL HEALTH LIMITED,INE474Q01031,HUMAN HEALTH ACTIVITIES,MEDANTA,MEDANTA.NS,Y
PAISALO DIGITAL LTD,PAISALO DIGITAL LTD.FV-1,INE420C01059,BANKING & FINANCE,PAISALO,PAISALO.NS,Y
PUNJAB AND SIND BANK,PUNJAB AND SIND BANK,INE608A01012,BANKING & FINANCE,PSB,PSB.NS,Y
UCO BANK,UCO BANK,INE691A01018,BANKING & FINANCE,UCOBANK,UCOBANK.NS,Y
BOSCH LIMITED,BOSCH LIMITED,INE323A01026,WHOLESALE AND RETAIL TRADE AND REPAIR OF MOTOR VEHICLES AND MOTORCYCLES,BOSCHLTD,BOSCHLTD.NS,Y
CARBORUNDUM UNIVERSAL LTD,CARBORUNDUM UNIVERSAL LTD.,INE120A01034,MANUFACTURE OF OTHER NON-METALLIC MINERAL PRODUCTS,CARBORUNIV,CARBORUNIV.NS,Y
CEAT LIMITED,CEAT LIMITED,INE482A01020,MANUFACTURE OF RUBBER AND PLASTICS PRODUCTS,CEATLTD,CEATLTD.NS,Y
FINOLEX CABLES LTD,FINOLEX CABLES LTD.,INE235A01022,MANUFACTURE OF ELECTRICAL EQUIPMENT,FINCABLES,FINCABLES.NS,Y
FSN E-COMMERCE VENTURES LTD,FSN E-COMMERCE VENTURES LTD.,INE388Y01029,"RETAIL TRADE, EXCEPT OF MOTOR VEHICLES AND MOTORCYCLES",NYKAA,NYKAA.NS,Y
SHREE CEMENT LTD,SHREE CEMENT LTD.,INE070A01015,MANUFACTURE OF OTHER NON-METALLIC MINERAL PRODUCTS,SHREECEM,SHREECEM.NS,Y
VARDHMAN TEXTILES LTD,VARDHMAN TEXTILES LTDFV-2,INE825A01020,MANUFACTURE OF TEXTILES,VTL,VTL.NS,Y
BIMA SUGAM INDIA FEDERATION,BIMA SUGAM INDIA FEDERATION,INE1HNJ01017,BANKING & FINANCE,,,N
CAUVERY BASIN REFINERY AND PETROCHEMICALS LIMITED,CAUVERY BASIN REFINERY AND PETROCHEMICALS LIMITED,INE0Q8W01017,MANUFACTURE OF COKE AND REFINED PETROLEUM PRODUCTS,,,N
LENSKART SOLUTIONS LIMITED,LENSKART SOLUTIONS LIMITED,INE956O01016,OTHER MANUFACTURING,LENSKART,LENSKART.NS,Y
Reliance Industries Limited,Reliance Industries Limited,INE002A01018,,RELIANCE,RELIANCE.NS,Y
